,0,1,2,3
MIMAT0005582,-2.115982304980636,-1.2595882777084286,-3.469554450422601,-2.3682468048744836
MIMAT0004987,-1.7848399462084206,-3.9851421802486784,-1.0986344247632256,-1.4918171642417961
MIMAT0026623,-3.8237542675599094,-3.7779337913976065,-3.1387726517150845,-3.928716023473417
MIMAT0031175,-4.811065873645956,-6.643856189774725,-5.118301988187112,-5.271684329879885
MIMAT0019776,-1.9732958927851152,-1.7173056273530776,-1.948174096094728,-2.1081636953339724
MIMAT0019071,-4.741710853013967,-5.498366965505968,-4.666620571710382,-4.050402379150877
MIMAT0004560,-1.643942359620263,-1.3218226401965396,-1.8844042287298426,-1.653599947308458
MIMAT0022473,-3.9596553327528152,-4.579329377805423,-5.578160983249008,-4.549257387414191
MIMAT0002178,-2.154126332900804,-1.6500512742044304,-3.833998207184912,-2.594082775543804
MIMAT0004498,-1.5971880362138118,-0.5912776399607308,-2.1099114615253014,-1.6902279245925316
MIMAT0027507,-3.409672080057694,-4.5813935642746895,-4.332569480484148,-2.9573898725440513
MIMAT0005824,-4.204583271239705,-5.669093550102907,-3.8233560237485094,-4.358444439615573
MIMAT0027604,-3.3407716893528208,-2.744079272096097,-4.133656372811374,-3.8007327351822418
MIMAT0015077,-2.664907468080185,-0.9479169150768272,-3.5377871645999113,-3.511111390769531
MIMAT0004690,-2.211942966476068,-2.869663828426329,-2.5757884910812567,-2.0202406505188426
MIMAT0021082,-4.158047208583595,-5.544384743816396,-4.639165165274153,-3.301174132316783
MIMAT0022923,-1.813424932280972,-2.8986060753907283,-1.7345340681959165,-2.129152791527789
MIMAT0019000,-2.164091426889314,-0.5724364138039222,-2.626370026553075,-2.1007577626644753
MIMAT0019948,-3.821978468971953,-4.249694080367236,-3.5279865469617127,-4.818713759596575
MIMAT0003313,-2.4192223129599193,-1.7762142724352814,-3.559530636760951,-2.881324494833581
MIMAT0019725,-4.282215320631309,-2.093991547298134,-4.2193407649490196,-4.639526709631895
MIMAT0026720,-3.399948853942369,-3.0565509734762886,-2.060526979687218,-3.5287923764697484
MIMAT0021021,-2.568346734277778,-1.7463997648401837,-3.5743243821089727,-2.115635423798806
MIMAT0018932,-4.483489378884186,-3.150222634408908,-2.794494725705574,-3.4242794416323856
MIMAT0015032,-3.92122263886747,-0.8253240882871063,-4.698997749924247,-4.233125511794917
